reel_id,filename,drive_link,status,uploaded_at,aspect_ratio,caption
reel_001,#1000014148.mp4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=1000014148,UPLOADED,2026-08-24T12:30:00+05:30,9:16,Soft Ghibli mood edit #ghibli #anime #softvibes
reel_002,#1000014154.mp4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=1000014154,UPLOADED,2026-08-24T13:05:00+05:30,9:16,Dreamy anime aesthetic #ghibliaesthetic #animeart
reel_003,#1000014158.mp4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=1000014158,UPLOADED,2026-08-24T17:42:00+05:30,9:16,Walking through quiet streets 🌧️✨ #studioghibli #ghibliaesthetic
reel_004,#Boys_Attitude_Animation_Cartoon_Create.MP4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=Boys_Attitude_Animation,UPLOADED,2026-08-24T23:31:58+05:30,9:16,Lost in starry skies and peaceful memories ✨💫 #studioghibli #animeedit
reel_005,#Best Jodi💓 #shorts#viral#vscreation.mp4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=Best_Jodi,PENDING,,9:16,
reel_006,#Boys_Attitude_WhatsApp_status_Domo_Ai.MP4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=Boys_Attitude_Status,PENDING,,9:16,
reel_007,#Cartoon_Animation_Create_Nuw_2024.MP4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=Cartoon_Animation_2024,PENDING,,9:16,
reel_008,#Copy of ANIME#animeedit_#anime.MP4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=Copy_of_ANIME,PENDING,,9:16,
reel_009,#Domo_Ai__Anime_Viral_Status.MP4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=Domo_Ai_Viral,PENDING,,9:16,
reel_010,#best friend ❤️#shorts#viral#vscreation.mp4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=best_friend,PENDING,,9:16,
reel_011,#best friends 💞 #viral#vscreation.mp4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=best_friends_pink,PENDING,,9:16,
reel_012,#best propose🫶🏻#viral#shorts.mp4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=best_propose,PENDING,,9:16,
reel_013,#boys attitude 😎#viral#shorts.mp4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=boys_attitude,PENDING,,9:16,
reel_014,#boys 😎#viral#shorts#vscreation.mp4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=boys_viral,PENDING,,9:16,
reel_015,#car lovers 🤩#viral#shorts.mp4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=car_lovers,PENDING,,9:16,
reel_016,#couple🫀💞#shorts#viral.mp4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=couple_heart,PENDING,,9:16,
reel_017,#cutie couple ❤️#shorts#viral.mp4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=cutie_couple,PENDING,,9:16,
reel_018,#cutie couple 👥💓#shorts#viral.mp4,https://drive.google.com/drive/folders/1saR2zoFd47npssYG0PnUeY8HMD5Zky5o?file=cutie_couple_heart,PENDING,,9:16,
